mturk_id,E,A,C,N,O
A3HOBJ4PJUOCUN,22,41,42,25,36
A166A2M31CW2C7,16,27,34,30,39
A166A2M31CW2C7,16,27,34,30,39
AURYD2FH3FUOQ,13,37,31,8,21
A1YSYI926BBOHW,18,25,41,10,39
A4ZPIPBDO624H,22,37,35,8,49
A3RLCGRXA34GC0,32,40,44,9,36
AVX3SWFMBEPMZ,19,41,40,16,38
A21SF3IKIZB0VN,21,39,40,26,35
A1MB3A5MC58LK6,25,31,38,16,41
A1FG4M4370KNFI,25,30,28,32,46
AL1RAAKVG9FJ2,19,30,34,17,32
A37QFZ8I1TGH2C,14,31,38,25,42
A1QB42OYEG1553,10,40,36,35,33
AHV4U78TUUDKI,33,21,42,22,40
A1KJV3S1EK7LUT,11,27,28,33,42
A248ARSA6FS20S,16,41,43,12,46
A3EJ44J2ZNRMDA,33,20,45,15,50
A2A52EATFDQJ1P,18,39,26,35,22
A3J9EHZQ9PERAX,22,28,36,29,30
A26GF078IX9A43,24,37,38,18,39
AK2C9AX5QJWUU,24,28,31,25,44
A2PXJTMWGUE5DC,23,38,40,24,39
A1STU8IA7S3WOK,17,36,32,20,39
AZJEGHE4605S5,32,40,41,15,37
AQAXDL1INQC9Q,24,35,44,21,50
A2SYRFPPV9WDEG,10,27,37,30,29
A18DUG8EA8Y766,31,32,42,12,38
AIJUY02ENAH9U,34,36,37,16,45
A34X76H88ZIZ21,13,30,45,36,45
A3P2LT53J1GUBG,14,27,42,27,26
A1ONILGBGJ8Y5K,34,38,30,11,47
A2S96ZZ70YFPSK,16,34,30,18,40
A39C1BN9ZSQ0R2,15,25,43,24,33
A1S88VQY8G8CNC,16,29,33,34,29
A1RWNYJA5X25YH,16,44,44,17,31
A2AVFNOKFHQ2ME,16,45,39,9,46
A3LFVI65XV1T46,15,34,39,24,32
A3HTLXAPOBCVVO,20,43,34,20,33
A2R0YYUAWNT7UD,17,23,32,24,22
A16HSMUJ7C7QA7,22,35,41,19,37
A2LV5432PV1S39,14,26,37,18,36
A3PYB8Z6FFWSOV,22,40,41,40,32
A70L26UXLTGLC,34,40,44,10,36
A20ALQT1HIVSAH,30,45,39,8,37
AF883TQ7OGVI8,32,39,41,13,42
A3760PCQD2MPIO,8,40,44,23,36
ASB8T0H7L99RF,12,22,11,38,14
A1HBIE5LRTQK1L,25,37,37,14,30
AKX5RHHO8BIUX,18,43,33,25,36
A2TDGWWPX6IMIZ,17,37,41,15,37
A1H162QMRV01SA,18,41,43,15,33
AJ74BNWTCX0MJ,22,44,29,20,29
A2WNW8A4MOR7T7,25,28,34,28,39
A2D4GSZPZB56HW,28,38,43,10,37
AVOF14300525D,8,30,34,35,22
A2VX8B1CJXRN2,9,23,42,38,29
A9J48W1C9IZAI,31,36,40,17,37
A1CFUMXK9QFT9M,12,30,38,26,39
A38DC3BG1ZCVZ2,13,16,14,39,14
A3G00Q5JV2BE5G,15,22,33,31,33
