mturk_id	selection	rating	code	blocks	metaRating
"A3HOBJ4PJUOCUN"	["A1HUUSCZ4I5SOP", "AQAXDL1INQC9Q", "ATHS9GUME1XCA"]	{"AQAXDL1INQC9Q": 4.5, "A1HUUSCZ4I5SOP": 4, "A2LT6KC1X51FVW": 3, "AQN3RS63MEPQA": 2.5, "AKX5RHHO8BIUX": 3, "A2K9FAOBT66F3U": 2.5, "A2P1VYBQ79Y92Q": 2.5, "ATHS9GUME1XCA": 4.5, "A1IZ4NX41GKU4X": 2.5, "A1EYJNJFSRMDWW": 3.5}	"tiaq9mb7"	["basic_info", "personality"]	{"How much would more information about performance and ability have helped you make a better decision about teammate selection?": 4, "Judging by the given information, how confident do you feel to have picked a good teammate?": 6, "How much would more personality information have helped you make a better decision about teammate selection?": 4, "How much would more demographic information have helped you make a better decision about teammate selection?": 3}
"A166A2M31CW2C7"	["A1EYJNJFSRMDWW", "AQN3RS63MEPQA", "A22KRF782ELLB0"]	{"A20ALQT1HIVSAH": 2, "A2MWAXV1YRK5GH": 1, "A1EYJNJFSRMDWW": 4, "A3E8SXH0BAYG85": 3, "A2P1VYBQ79Y92Q": 1.5, "A3EJ44J2ZNRMDA": 2, "ATHS9GUME1XCA": 2, "A22KRF782ELLB0": 3, "A1IZ4NX41GKU4X": 2, "AQN3RS63MEPQA": 3}	"gqymis9"	["basic_info", "personality"]	{"How much would more information about performance and ability have helped you make a better decision about teammate selection?": 7, "Judging by the given information, how confident do you feel to have picked a good teammate?": 6, "How much would more personality information have helped you make a better decision about teammate selection?": 5, "How much would more demographic information have helped you make a better decision about teammate selection?": 3}
"A166A2M31CW2C7"	[]	{}	"tvqaya6a"	["performance"]	{"How much would more information about performance and ability have helped you make a better decision about teammate selection?": 0, "Judging by the given information, how confident do you feel to have picked a good teammate?": 0, "How much would more personality information have helped you make a better decision about teammate selection?": 0, "How much would more demographic information have helped you make a better decision about teammate selection?": 0}
"AURYD2FH3FUOQ"	["A14PFRHG0A2YY9", "A2LT6KC1X51FVW", "A1HUUSCZ4I5SOP"]	{"A20ALQT1HIVSAH": 0.5, "A1HUUSCZ4I5SOP": 4, "A2LT6KC1X51FVW": 4, "AQN3RS63MEPQA": 2.5, "A3EJ44J2ZNRMDA": 4, "AAEZQL4J6CQGM": 4, "A14PFRHG0A2YY9": 3.5, "A1IZ4NX41GKU4X": 3, "A1EYJNJFSRMDWW": 3, "A1GKEEI844CEKI": 0.5}	"2hrbwaz"	["performance"]	{"How much would more information about performance and ability have helped you make a better decision about teammate selection?": 5, "Judging by the given information, how confident do you feel to have picked a good teammate?": 5, "How much would more personality information have helped you make a better decision about teammate selection?": 3, "How much would more demographic information have helped you make a better decision about teammate selection?": 1}
"A1YSYI926BBOHW"	["A27BUT19WQ6P1O", "A175PJR0W3LO8I", "A20ALQT1HIVSAH"]	{"A20ALQT1HIVSAH": 5, "A2LT6KC1X51FVW": 2, "A1EYJNJFSRMDWW": 4, "AKX5RHHO8BIUX": 4, "A2K9FAOBT66F3U": 4.5, "A175PJR0W3LO8I": 5, "A2MWAXV1YRK5GH": 4, "A14PFRHG0A2YY9": 3.5, "A1GKEEI844CEKI": 5, "A27BUT19WQ6P1O": 5}	"oiwqqmvv"	["basic_info", "personality"]	{"How much would more information about performance and ability have helped you make a better decision about teammate selection?": 7, "Judging by the given information, how confident do you feel to have picked a good teammate?": 4, "How much would more personality information have helped you make a better decision about teammate selection?": 7, "How much would more demographic information have helped you make a better decision about teammate selection?": 2}
"A4ZPIPBDO624H"	["A2K9FAOBT66F3U", "A175PJR0W3LO8I", "AKX5RHHO8BIUX"]	{"A1HUUSCZ4I5SOP": 3.5, "A2LT6KC1X51FVW": 3, "A1EYJNJFSRMDWW": 3, "AKX5RHHO8BIUX": 4.5, "A3E8SXH0BAYG85": 4, "A2K9FAOBT66F3U": 5, "A175PJR0W3LO8I": 4.5, "A22KRF782ELLB0": 3, "A2MWAXV1YRK5GH": 4.5, "A1IZ4NX41GKU4X": 4}	"tkeskzcd"	["basic_info", "personality", "performance"]	{"How much would more information about performance and ability have helped you make a better decision about teammate selection?": 4, "Judging by the given information, how confident do you feel to have picked a good teammate?": 6, "How much would more personality information have helped you make a better decision about teammate selection?": 3, "How much would more demographic information have helped you make a better decision about teammate selection?": 1}
"A3RLCGRXA34GC0"	["A1IZ4NX41GKU4X", "A2MWAXV1YRK5GH", "A2P1VYBQ79Y92Q"]	{"A2MWAXV1YRK5GH": 5, "A1EYJNJFSRMDWW": 3, "A2K9FAOBT66F3U": 3.5, "A2P1VYBQ79Y92Q": 5, "A175PJR0W3LO8I": 2.5, "ATHS9GUME1XCA": 1.5, "A22KRF782ELLB0": 2, "A14PFRHG0A2YY9": 3, "A1IZ4NX41GKU4X": 4, "A27BUT19WQ6P1O": 4}	"rc14zmy"	["basic_info", "personality", "performance"]	{"How much would more information about performance and ability have helped you make a better decision about teammate selection?": 3, "Judging by the given information, how confident do you feel to have picked a good teammate?": 6, "How much would more personality information have helped you make a better decision about teammate selection?": 3, "How much would more demographic information have helped you make a better decision about teammate selection?": 2}
"AVX3SWFMBEPMZ"	["A3E8SXH0BAYG85", "AKX5RHHO8BIUX", "A14PFRHG0A2YY9"]	{"AQAXDL1INQC9Q": 2.5, "A20ALQT1HIVSAH": 3, "AQN3RS63MEPQA": 2, "AKX5RHHO8BIUX": 4.5, "A3E8SXH0BAYG85": 3.5, "ATHS9GUME1XCA": 2, "A1GKEEI844CEKI": 3, "A14PFRHG0A2YY9": 3.5, "A1EYJNJFSRMDWW": 3, "A27BUT19WQ6P1O": 2.5}	"naq22cab"	["performance"]	{"How much would more information about performance and ability have helped you make a better decision about teammate selection?": 7, "Judging by the given information, how confident do you feel to have picked a good teammate?": 6, "How much would more personality information have helped you make a better decision about teammate selection?": 4, "How much would more demographic information have helped you make a better decision about teammate selection?": 2}
"A21SF3IKIZB0VN"	["AQAXDL1INQC9Q", "AAEZQL4J6CQGM", "A3E8SXH0BAYG85"]	{"AQAXDL1INQC9Q": 5, "A3E8SXH0BAYG85": 5, "A2K9FAOBT66F3U": 2, "A1IZ4NX41GKU4X": 3, "AAEZQL4J6CQGM": 5, "ATHS9GUME1XCA": 4, "A1GKEEI844CEKI": 4, "A14PFRHG0A2YY9": 4, "A2P1VYBQ79Y92Q": 3, "A27BUT19WQ6P1O": 3.5}	"dlp8sdgzox4xslgmskvgqfr"	["basic_info", "personality", "performance"]	{"How much would more information about performance and ability have helped you make a better decision about teammate selection?": 1, "Judging by the given information, how confident do you feel to have picked a good teammate?": 7, "How much would more personality information have helped you make a better decision about teammate selection?": 2, "How much would more demographic information have helped you make a better decision about teammate selection?": 1}
"A1MB3A5MC58LK6"	["A2P1VYBQ79Y92Q", "A3E8SXH0BAYG85", "A2MWAXV1YRK5GH"]	{"A20ALQT1HIVSAH": 3.5, "A2LT6KC1X51FVW": 3.5, "A1EYJNJFSRMDWW": 4, "A3E8SXH0BAYG85": 4, "A1IZ4NX41GKU4X": 3.5, "ATHS9GUME1XCA": 4, "A2MWAXV1YRK5GH": 4, "A2P1VYBQ79Y92Q": 4.5, "AQN3RS63MEPQA": 3.5, "A27BUT19WQ6P1O": 3.5}	"xz076qn"	["basic_info", "personality", "performance"]	{"How much would more information about performance and ability have helped you make a better decision about teammate selection?": 6, "Judging by the given information, how confident do you feel to have picked a good teammate?": 6, "How much would more personality information have helped you make a better decision about teammate selection?": 5, "How much would more demographic information have helped you make a better decision about teammate selection?": 4}
